TREAT,NiTREAT,NiCONC,REP,A600_P,A600_B,A550,A540,A600_RATIO
Sample,Ni0,0,Ni0_A,0.015,1.809,1.297,1.156,120.60
Sample,Ni0,0,Ni0_B,0.014,2.054,1.473,1.313,146.71
Sample,Ni0,0,Ni0_C,0.015,1.655,1.178,1.051,114.14
Control,Ni0,0,Ni0_Ct,0.003,0.029,0.020,0.018,9.67
Sample,Ni5,5,Ni5_A,0.047,1.202,0.851,0.759,25.57
Sample,Ni5,5,Ni5_B,0.022,1.312,0.933,0.832,59.64
Sample,Ni5,5,Ni5_C,0.025,1.357,0.965,0.861,54.28
Control,Ni5,5,Ni5_Ct,0.002,0.025,0.018,0.016,12.50
Sample,Ni10,10,Ni10_A,0.082,1.120,0.799,0.715,13.66
Sample,Ni10,10,Ni10_B,0.041,1.128,0.802,0.716,27.51
Sample,Ni10,10,Ni10_C,0.068,0.753,0.543,0.486,11.07
Control,Ni10,10,Ni10_Ct,0.002,0.029,0.021,0.019,14.50
Sample,Ni25,25,Ni25_A,0.126,0.841,0.597,0.534,6.67
Sample,Ni25,25,Ni25_B,0.168,0.601,0.427,0.382,3.58
Sample,Ni25,25,Ni25_C,0.156,0.783,0.561,0.502,5.02
Control,Ni25,25,Ni25_Ct,0.002,0.030,0.021,0.019,15.00
Sample,Ni50,50,Ni50_A,0.255,0.485,0.349,0.313,1.90
Sample,Ni50,50,Ni50_B,0.287,0.518,0.372,0.333,1.80
Sample,Ni50,50,Ni50_C,0.285,0.491,0.355,0.318,1.72
Control,Ni50,50,Ni50_Ct,0.002,0.025,0.018,0.016,12.50
Sample,Ni75,75,Ni75_A,0.370,0.423,0.308,0.276,1.14
Sample,Ni75,75,Ni75_B,0.363,0.354,0.257,0.229,0.98
Sample,Ni75,75,Ni75_C,0.388,0.341,0.249,0.224,0.88
Control,Ni75,75,Ni75_Ct,0.002,0.029,0.021,0.019,14.50
Sample,Ni125,125,Ni125_A,0.404,0.146,0.107,0.096,0.36
Sample,Ni125,125,Ni125_B,0.410,0.130,0.094,0.084,0.32
Sample,Ni125,125,Ni125_C,0.424,0.137,0.100,0.090,0.32
Control,Ni125,125,Ni125_Ct,0.002,0.027,0.019,0.017,13.50
Sample,Ni250,250,Ni250_A,0.123,0.154,0.112,0.100,1.25
Sample,Ni250,250,Ni250_B,0.113,0.159,0.115,0.103,1.41
Sample,Ni250,250,Ni250_C,0.145,0.103,0.075,0.068,0.71
Control,Ni250,250,Ni250_Ct,0.003,0.021,0.016,0.014,7.00