GENE,NiTREAT,NiCONC,SAMPLE,Ct1,Ct2,Ct3,Ct4
rpsO,Ni0,0,Ni0_a,16.17,15.87,16.22,16.12
rpsO,Ni0,0,Ni0_b,15.76,15.77,15.72,15.61
rpsO,Ni0,0,Ni0_c,15.68,15.45,15.99,15.51
rpsO,Ni5,5,Ni5_a,15.58,15.51,15.67,15.78
rpsO,Ni5,5,Ni5_b,15.52,15.48,15.73,15.74
rpsO,Ni5,5,Ni5_c,15.8,15.72,15.59,15.57
rpsO,Ni10,10,Ni10_a,15.45,15.36,15.37,15.3
rpsO,Ni10,10,Ni10_b,16.01,16.01,16.07,16.05
rpsO,Ni10,10,Ni10_c,15.53,15.55,15.71,15.32
rpsO,Ni25,25,Ni25_b,18.56,18.24,18.32,18.45
rpsO,Ni25,25,Ni25_c,15.9,15.55,15.77,15.96
rpsO,Ni50,50,Ni50_a,16.34,16.13,16.28,16.37
rpsO,Ni50,50,Ni50_b,17.41,17.3,17.4,17.2
rpsO,Ni50,50,Ni50_c,15.73,15.51,15.73,15.74
rpsO,Ni75,75,Ni75_a,15.71,15.98,16.2,16.07
rpsO,Ni75,75,Ni75_b,15.49,15.92,15.6,15.52
rpsO,Ni75,75,Ni75_c,15.71,15.85,16.05,15.73
rpsO,Ni125,125,Ni125_a,15.67,15.38,15.04,15.46
rpsO,Ni125,125,Ni125_b,17.42,17.19,17.17,18.73
rpsO,Ni125,125,Ni125_c,15.76,15.36,15.33,15.81
rpsO,Ni250,250,Ni250_a,16.39,16.21,16.22,16.56
rpsO,Ni250,250,Ni250_b,16.87,16.81,16.67,16.53
rpsO,Ni250,250,Ni250_c,17.03,16.23,16.17,16.36
mnxG,Ni0,0,Ni0_a,32.94,26.1,26.22,
mnxG,Ni0,0,Ni0_b,26.57,26.25,26.37,
mnxG,Ni0,0,Ni0_c,25.86,25.03,25.31,
mnxG,Ni5,5,Ni5_a,30.75,25.95,26.09,
mnxG,Ni5,5,Ni5_b,26.13,25.8,25.84,
mnxG,Ni5,5,Ni5_c,25.81,25.11,25.26,
mnxG,Ni10,10,Ni10_a,27.05,26.84,26.96,
mnxG,Ni10,10,Ni10_b,27.59,27.23,27.48,
mnxG,Ni10,10,Ni10_c,26.29,26.21,26.29,
mnxG,Ni25,25,Ni25_b,31.08,30.68,30.34,
mnxG,Ni25,25,Ni25_c,27.63,27.39,27.29,
mnxG,Ni50,50,Ni50_a,28,27.99,28.21,
mnxG,Ni50,50,Ni50_b,28.14,28.44,29.13,
mnxG,Ni50,50,Ni50_c,28.09,27.58,27.83,
mnxG,Ni75,75,Ni75_a,27.42,27.69,27.7,
mnxG,Ni75,75,Ni75_b,27.7,27.58,27.51,
mnxG,Ni75,75,Ni75_c,27.3,27.39,27.7,
mnxG,Ni125,125,Ni125_a,26.54,27.31,27.48,
mnxG,Ni125,125,Ni125_b,28.57,28.99,28.84,
mnxG,Ni125,125,Ni125_c,27.69,27.59,27.68,
mnxG,Ni250,250,Ni250_a,28.86,29.51,29.29,
mnxG,Ni250,250,Ni250_b,29.57,29.71,29.7,
mnxG,Ni250,250,Ni250_c,28.84,29.32,29.66,
czcA,Ni0,0,Ni0_a,35.32,36.81,37.14,
czcA,Ni0,0,Ni0_b,0,35.53,37.06,
czcA,Ni0,0,Ni0_c,32.83,34.99,36.29,
czcA,Ni5,5,Ni5_a,34.04,34.87,34.66,
czcA,Ni5,5,Ni5_b,34.48,35.48,35.46,
czcA,Ni5,5,Ni5_c,36.48,36.3,35.83,
czcA,Ni10,10,Ni10_a,35.02,36.27,34.69,
czcA,Ni10,10,Ni10_b,33.56,34.13,35.6,
czcA,Ni10,10,Ni10_c,34.38,35.77,35.75,
czcA,Ni25,25,Ni25_b,36.27,36.04,0,
czcA,Ni25,25,Ni25_c,34.36,34.69,34.5,
czcA,Ni50,50,Ni50_a,33.11,33.9,33.46,
czcA,Ni50,50,Ni50_b,35.78,33.4,36.43,
czcA,Ni50,50,Ni50_c,34.69,32.96,33.62,
czcA,Ni75,75,Ni75_a,32.45,33.48,32.81,
czcA,Ni75,75,Ni75_b,33.58,32.91,33.77,
czcA,Ni75,75,Ni75_c,31.73,33.05,33.64,
czcA,Ni125,125,Ni125_a,31.91,32.39,32.13,
czcA,Ni125,125,Ni125_b,33.15,34.29,33.87,
czcA,Ni125,125,Ni125_c,32.05,33.04,34.99,
czcA,Ni250,250,Ni250_a,32.76,32.59,33.52,
czcA,Ni250,250,Ni250_b,32.46,32.92,34.53,
czcA,Ni250,250,Ni250_c,32.37,34.03,34.23,
bifA,Ni0,0,Ni0_a,22.18,24.59,24.76,
bifA,Ni0,0,Ni0_b,22.54,24.63,24.59,
bifA,Ni0,0,Ni0_c,21.78,24.16,25.09,
bifA,Ni5,5,Ni5_a,21.76,24.5,24.42,
bifA,Ni5,5,Ni5_b,22.21,24.67,24.58,
bifA,Ni5,5,Ni5_c,22.18,23.71,24.71,
bifA,Ni10,10,Ni10_a,26,24.31,24.28,
bifA,Ni10,10,Ni10_b,21.88,24.69,24.59,
bifA,Ni10,10,Ni10_c,22.12,24.03,24.69,
bifA,Ni25,25,Ni25_b,24.32,26.92,26.92,
bifA,Ni25,25,Ni25_c,22.23,24.32,24.81,
bifA,Ni50,50,Ni50_a,21.56,24.06,24.16,
bifA,Ni50,50,Ni50_b,22.41,24.9,25.06,
bifA,Ni50,50,Ni50_c,21.51,24,24.26,
bifA,Ni75,75,Ni75_a,21.01,23.92,23.82,
bifA,Ni75,75,Ni75_b,21.13,23.91,23.85,
bifA,Ni75,75,Ni75_c,21.67,23.47,23.81,
bifA,Ni125,125,Ni125_a,20.99,23.28,23.64,
bifA,Ni125,125,Ni125_b,21.98,24.82,24.86,
bifA,Ni125,125,Ni125_c,21.45,23.83,24.05,
bifA,Ni250,250,Ni250_a,22.03,24.38,24.43,
bifA,Ni250,250,Ni250_b,22.24,24.44,24.87,
bifA,Ni250,250,Ni250_c,22.11,24.36,24.68,
mcoA,Ni0,0,Ni0_a,27.44,27.27,28.16,
mcoA,Ni0,0,Ni0_b,27.81,27.56,23.27,
mcoA,Ni0,0,Ni0_c,26.65,19.59,27.35,
mcoA,Ni5,5,Ni5_a,27.56,27.73,28.47,
mcoA,Ni5,5,Ni5_b,27.21,27.15,26.97,
mcoA,Ni5,5,Ni5_c,27.2,28.59,27.09,
mcoA,Ni10,10,Ni10_a,28.21,28.5,28.79,
mcoA,Ni10,10,Ni10_b,28.8,28.48,29.34,
mcoA,Ni10,10,Ni10_c,27.95,27.4,27.75,
mcoA,Ni25,25,Ni25_b,31.96,30.74,33.04,
mcoA,Ni25,25,Ni25_c,27.96,27.69,28.22,
mcoA,Ni50,50,Ni50_a,29.36,29.17,30.14,
mcoA,Ni50,50,Ni50_b,30,29.58,31.15,
mcoA,Ni50,50,Ni50_c,28.91,28.61,29.67,
mcoA,Ni75,75,Ni75_a,28.71,29.51,29.23,
mcoA,Ni75,75,Ni75_b,28.79,28.67,29.3,
mcoA,Ni75,75,Ni75_c,28.56,28.26,28.92,
mcoA,Ni125,125,Ni125_a,28.64,28.76,28.76,
mcoA,Ni125,125,Ni125_b,29.77,29.5,30.57,
mcoA,Ni125,125,Ni125_c,28.96,28.76,29.75,
mcoA,Ni250,250,Ni250_a,29.16,29.2,29.96,
mcoA,Ni250,250,Ni250_b,30.12,29.47,30.37,
mcoA,Ni250,250,Ni250_c,29.89,28.19,30.32,